,Title,Artist
0,Rockin' Around The Christmas Tree,Brenda Lee
1,All I Want For Christmas Is You,Mariah Carey
2,Jingle Bell Rock,Bobby Helms
3,Last Christmas,Wham!
4,A Holly Jolly Christmas,Burl Ives
5,It's The Most Wonderful Time Of The Year,Andy Williams
6,"Let It Snow, Let It Snow, Let It Snow!",Dean Martin
7,Feliz Navidad,Jose Feliciano
8,Lovin On Me,Jack Harlow
9,Sleigh Ride,The Ronettes
10,Santa Tell Me,Ariana Grande
11,The Christmas Song (Merry Christmas To You),"Nat ""King"" Cole"
12,Underneath The Tree,Kelly Clarkson
13,White Christmas,Bing Crosby With Ken Darby Singers & John Scott Trotter & His Orchestra
14,Christmas (Baby Please Come Home),Darlene Love
15,Jingle Bells,Frank Sinatra With The Orchestra & Chorus Of Gordon Jenkins
16,Deck The Halls,Nat King Cole
17,Blue Christmas,Elvis Presley
18,Cruel Summer,Taylor Swift
19,Santa Baby,Eartha Kitt With Henri Rene And His Orchestra
20,Here Comes Santa Claus (Right Down Santa Claus Lane),Gene Autry
21,Run Rudolph Run,Chuck Berry
22,It's Beginning To Look A Lot Like Christmas,Michael Buble
23,Greedy,Tate McRae
24,Little Saint Nick,The Beach Boys
25,Wonderful Christmastime,Paul McCartney
26,It's Beginning To Look A Lot Like Christmas,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra
27,Please Come Home For Christmas,Eagles
28,Paint The Town Red,Doja Cat
29,Santa Claus Is Comin' To Town,Jackson 5
30,I Remember Everything,Zach Bryan Featuring Kacey Musgraves
31,Water,Tyla
32,"You're A Mean One, Mr. Grinch",Thurl Ravenscroft
33,This Christmas,Donny Hathaway
34,Agora Hills,Doja Cat
35,Last Night,Morgan Wallen
36,Mistletoe,Justin Bieber
37,Happy Holiday / The Holiday Season,Andy Williams
38,Christmastime Is Here,Vince Guaraldi Trio
39,Like It's Christmas,Jonas Brothers
40,Have Yourself A Merry Little Christmas,Michael Buble
41,Happy Xmas (War Is Over),John & Yoko/The Plastic Ono Band With The Harlem Community Choir
42,I Saw Mommy Kissing Santa Claus,Jackson 5
43,Thinkin' Bout Me,Morgan Wallen
44,Rudolph The Red-Nosed Reindeer,Gene Autry & The Pinafores
45,Merry Christmas,Ed Sheeran & Elton John
46,Fast Car,Luke Combs
47,Lose Control,Teddy Swims
48,Is It Over Now? (Taylor's Version) [From The Vault],Taylor Swift
49,(There's No Place Like) Home For The Holidays (1954),Perry Como With Mitchell Ayers And His Orchestra
50,Lil Boo Thang,Paul Russell
51,Rich Baby Daddy,Drake Featuring Sexyy Red & SZA
52,FTCU,Nicki Minaj
53,Stick Season,Noah Kahan
54,Everybody,Nicki Minaj Featuring Lil Uzi Vert
55,White Horse,Chris Stapleton
56,First Person Shooter,Drake Featuring J. Cole
57,Used To Be Young,Miley Cyrus
58,Houdini,Dua Lipa
59,Good Good,"Usher, Summer Walker & 21 Savage"
60,World On Fire,Nate Smith
61,La Diabla,Xavi
62,Pretty Little Poison,Warren Zeiders
63,On My Mama,Victoria Monet
64,My Love Mine All Mine,Mitski
65,Exes,Tate McRae
66,Surround Sound,JID Featuring 21 Savage & Baby Tate
67,Monaco,Bad Bunny
68,Strangers,Kenya Grace
69,You Broke My Heart,Drake
70,Get Him Back!,Olivia Rodrigo
71,IDGAF,Drake Featuring Yeat
72,Harley Quinn,Fuerza Regida & Marshmello
73,Wild Ones,Jessie Murph & Jelly Roll
74,Bellakeo,Peso Pluma & Anitta
75,Truck Bed,HARDY
76,Save Me The Trouble,Dan + Shay
77,Jingle Bells,Meghan Trainor
78,La Victima,Xavi
79,Where The Wild Things Are,Luke Combs
80,Qlona,Karol G & Peso Pluma
81,You're Losing Me (From The Vault),Taylor Swift
82,500lbs,Lil Tecca
83,The Painter,Cody Johnson
84,Never Lose Me,Flo Milli
85,Burn It Down,Parker McCollum
86,Winter Wonderland,Chloe
87,Segun Quien,Maluma & Carin Leon
88,Needle,Nicki Minaj Featuring Drake
89,DJ Play A Christmas Song,Cher
90,Mind On You,George Birge
91,Lace It,"Juice WRLD, Eminem & benny blanco"
92,Hey Driver,Zach Bryan Featuring The War And Treaty
93,Feather,Sabrina Carpenter
94,Can't Catch Me Now,Olivia Rodrigo
95,El Amor de Su Vida,Grupo Frontera & Grupo Firme
96,Standing Next To You,Jung Kook
97,Man Made A Bar,Morgan Wallen Featuring Eric Church
98,Que Onda,Calle 24 x Chino Pacas x Fuerza Regida
99,Great Gatsby,Rod Wave
